user_id,session_id,subscription_type,journey
1516,2980231,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Other-Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Log in-Log in-Log in"
1516,2980248,Annual,"Other-Sign up-Sign up-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Sign up-Sign up"
1516,2992252,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
1516,3070491,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Log in"
1516,3709807,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
1516,3723132,Annual,Checkout-Checkout-Checkout-Checkout
1516,3723365,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3723382,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3723427,Annual,Checkout-Checkout
1516,3723483,Annual,Coupon-Coupon
1516,3723508,Annual,Checkout-Checkout-Checkout-Checkout
1516,3724778,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3726160,Annual,Checkout-Checkout
3395,3645805,Annual,"Sign up-Log in-Pricing-Sign up-Log in-Log in"
3395,3657408,Annual,Homepage-Pricing
3395,3712148,Annual,Pricing-Checkout
3395,3713857,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
10107,3653049,Annual,"Homepage-Resources center-Resources center-Resources center-Resources center-Other"
10107,3655508,Annual,"Career tracks-Career tracks-Homepage-Career tracks"
10107,3655510,Annual,"Career tracks-Career tracks-Career tracks-Courses-Career tracks-Career tracks-Career tracks-Courses"
10107,3655968,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Career tracks-Log in"
10107,3656751,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in"
